"Path","Size"
"D:\recup\test\f1047704064.txt","20231"
"D:\recup\test\f1048417280_Re_Sortie_au_mont_St_hilaire.pdf","126534513"
"D:\recup\test\f1056470528.html","44767"
"D:\recup\test\f1074665472.jpg","1804439"
"D:\recup\test\f1078331392.mpg","49152"
"D:\recup\test\f1219160576.mp4","1596049645"
